,tweet_id,name,username,tweet,created_at,label
424,1567127695255048193,brightwin's🐺🐰,BalqisYasin,"""Diskusikan secara berkelompok contoh kegiatan ekonomi, seperti produksi, distribusi, konsumsi."" iya aku diskusi bersama google + brainly",2022-09-06 12:28:53+00:00,1
437,1566795041468649472,ipiy loves neil,peachmanu,kangen brainly deh,2022-09-05 14:27:02+00:00,1
438,1566792935437631488,ひとみ,ghaisene,"Thanks Brainly, berkatmu aku bisa menjawab PR dari toer ^^",2022-09-05 14:18:40+00:00,1
464,1566354851206172672,Raka.,tydYOUNGHOON,@INSIDEOUTxCA Makasih brainly,2022-09-04 09:17:52+00:00,1
476,1566089050447982593,sapsap,ssaappssaapp,rindu nyari jawaban di brainly 😭😭😭,2022-09-03 15:41:40+00:00,1
513,1565495428703211520,Akar Pohon.,Dheimora,@dinotauwrus Tidak usah bingung kan ada brainly,2022-09-02 00:22:50+00:00,1
515,1565356085753839616,naoi 🍒,naonreii,"kalau tidak tahu coba tanya brainly, biasanya dia bisa jawab soal-soal hitungan https://t.co/CFXBUVtgws",2022-09-01 15:09:08+00:00,1
576,1563932261040664577,Sohee!,eoheez,@jjongsseng Pertanyaan yang sulit dijawab brainly.,2022-08-28 16:51:22+00:00,1
587,1563800793916006400,(◕ᴗ◕✿),pastintuy,"@sobathanyut @collegemenfess sudah sudah tenang tenang, pakai brainly aja gratis",2022-08-28 08:08:57+00:00,1
32,1568606077348114432,🍄,bubbIenmushroom,MALU BANGET ANJING WKKWKWKWK calon guru tapi menyalin brainly https://t.co/033uGFUhpC,2022-09-10 14:23:26+00:00,0
33,1568601794162606082,an,whxterose__,Ini tolol banget si anjir menyalin dari brainly cok😭😭😭 https://t.co/OxCelRtZUK,2022-09-10 14:06:25+00:00,0
162,1568449465195057153,Gema,gemalahaza,"@lovingsubake jangan percaya brainly deh, sesat :""",2022-09-10 04:01:07+00:00,0
317,1568269269976383488,bit 👻,Bybitt27,ANJING LUCU BANGET WKWKWK😂🤣 TAPI AKU MENYONTEK DI BRAINLY SALAH BANYAK ANJING😭 https://t.co/KPzIvL5A7S,2022-09-09 16:05:05+00:00,0
378,1567812703070359554,"Homebody 2RU, Performers of B4KWAN, Joan",JUNKGYU,@Whonyoung SYIT BRAINLY LOADINGNYA LAMA,2022-09-08 09:50:51+00:00,0
407,1567374526350249987,haus reassurance,gloomiestday,kenapa tugas kuliah tidak ada di brainly sih,2022-09-07 04:49:42+00:00,2
414,1567190200882991105,kupi,crystaljellyy,"kenapa jawaban tugas kuliah itu tidak ada di brainly sih, nangis banget harus nyari di jurnal terus belum lagi kalau bahasa inggris harus diterjemah dulu hiks hiks",2022-09-06 16:37:15+00:00,2
426,1567123476095598593,Raviel,flwrxjyn,"@_oreoenaktau Di brainly tidak ketemu, di qanda ada tapi aku tidak yakin",2022-09-06 12:12:07+00:00,2
445,1566707017678745600,"ACT, Donzio.",wooyoliung,@lohyeji soalnya kalau tanya brainly tidak ada jawabannya :),2022-09-05 08:37:15+00:00,0
447,1566687752498065408,j😎,donghwamyboo,Brainly kadang sesat https://t.co/qBF9DWuw1i,2022-09-05 07:20:42+00:00,0
463,1566360063278989313,pegawaikerajaan,Randitamaaa,"Makan tuh brainly 😄, para penikmat brainly mulai kewalahan. https://t.co/2azcNKzSlw",2022-09-04 09:38:35+00:00,0
471,1566238274191912960,hanjis bundar #MAXIDENT,jwisunghan,@kimusnoo kamu jangan terpaku sama brainly nanti ditipu mending les aja ya🙏🏻,2022-09-04 01:34:38+00:00,0
475,1566094223144730624,🪶 Agent Arsion of Power R4ngers,kimusnoo,"@jwisunghan kok.. padahal itu jawaban terbaik menurut brainly, hufet aku tertipu (kecewa)😔",2022-09-03 16:02:14+00:00,0
486,1565975673365073920,𔘓,hwawgyeji,@MoaAxel @hi berarti brainly sembarangan 😔💔,2022-09-03 08:11:09+00:00,0
510,1565583792927977472,️️️️️️️niná,morkpiz,@convomfs brainly sudah bukan temain baikku,2022-09-02 06:13:58+00:00,0
523,1565308440724979712,Gabriel,beoqmgyu,@starsbunnyz ORANG BRAINLY ANEH BANGET,2022-09-01 11:59:48+00:00,0
544,1564683083429064704,Ahh Chuu!,chuught,"@specqtor wkwkwkw tidak tahu sih, tapi guruku dulu suka nyalahin jawaban yang keliatan brainly banget.😭",2022-08-30 18:34:52+00:00,2
581,1563850108248412160,duarrr,falnaufaal,"@utfess Di UT gampang dapat nilai dibandingkan kampus lain (menurutku). Asal selalu mengerjakan tugas, diskusi, latihan soal, mengerjakan ujian dan tolong jangan plagiasi atau menyalin dari internet. Kesel banget sering liat orang jawab diskusi pakai brainly wkwk.",2022-08-28 11:24:55+00:00,2
622,1563146645558403075,ael || full sekolah,zh0nglala,"Aku pikir brainly sesat itu cuma omong omong orang, ternyata bener fakk matematikaku dapet 70 sedangkan kerjaan aku sendiri 90",2022-08-26 12:49:36+00:00,0
650,1562411931516157953,⤮,hwangphils,belum masuk studi kasus tapi aku udah mau nangis alias ini di google jawabannya jelek semua ((brainly)),2022-08-24 12:10:07+00:00,0
89,1568509504568061952,derbyanoe,hoommaaan,perbedaan kuliah dan sma hanya terletak pada soal yang tidak tersedia di brainly,2022-09-10 07:59:42+00:00,0
93,1568507564467585026,iChiroMushy,iChiroMushy,@madmoiselledrie @journal_nct @wuthapppen Padahal sudah pake data science malah dibales pakai tangkapan layar brainly 😂,2022-09-10 07:51:59+00:00,0
236,1568405978785398786,natasha,yeuriems,"@infotwitwor_ brainly: ""maaf kalau salah🙏""",2022-09-10 01:08:19+00:00,2
360,1568186908827881473,pegawaikerajaan,Randitamaaa,Sma? Aneh benar masa sma tidak boleh bawa hp. Kan bisa buat brainly https://t.co/bYMvu0KBGw,2022-09-09 10:37:49+00:00,2
361,1568184691643265024,ｈｕａｒｕ　花 🍁,polcaesthetic,Kalau di brainly ada sistem poinnya juga kan ya,2022-09-09 10:29:00+00:00,2
374,1567852312831602692,kin,renjleyy_,terkadang jawaban teman seperti brainly saat kita bertanya,2022-09-08 12:28:15+00:00,2
375,1567846020868079618,Film semi bokep thailand korea jepang cina diblok,FDiblok,apa desain pola lantai yang digunakan pada tari pendet jelaskan brainly,2022-09-08 12:03:15+00:00,2
396,1567523760512847872,fiyo,hoancock,kenapa tidak boleh pakai brainly saja,2022-09-07 14:42:42+00:00,2
401,1567469912012242950,Malming malam minggu senin besok pacarku selasa ya,SisaDiana,apa saja ekspor indonesia ke jepang brainly,2022-09-07 11:08:43+00:00,2
410,1567311750739148801,Hanya Anti Bokep Video Porno Porn Jav Sex Crot Dll,Wik2manja,benarkah perjalanan wisata sudah menjadi kebutuhan jelaskan brainly,2022-09-07 00:40:15+00:00,2
429,1567083014831898626,Puisi Malam Mencari Cinta,PuisiSex,berapa lama hotel buka dalam 1 hari brainly,2022-09-06 09:31:20+00:00,2
432,1566971881244475392,Video Film Bokep Full Jav Porno Pornstar Diblokir,VDiblokir,bagaimana sensor pada satelit bekerja brainly,2022-09-06 02:09:44+00:00,2
436,1566813315229450242,Video Film Bokep Full Jav Porno Pornstar Diblokir,VDiblokir,apa sensor organ paling kuat dari tubuh anjing brainly,2022-09-05 15:39:38+00:00,2
474,1566118889762992129,Hanya Anti Bokep Video Porno Porn Jav Sex Crot Dll,Wik2manja,siapa saja yang turut serta dalam kebersihan kota surabaya brainly,2022-09-03 17:40:15+00:00,2
554,1564419798330933248,Malming malam minggu senin besok pacarku selasa ya,SisaDiana,apakah partai politik di indonesia sudah menjalankan fungsinya dengan baik brainly,2022-08-30 01:08:40+00:00,2
555,1564409014922125312,Ridlwan setya putra,ridlwansetyaput,ternyata semua yang aku buat di brainly itu terekam.,2022-08-30 00:25:49+00:00,2
560,1564266198510239746,fckuhaha,idchonestlyhaha,berasa brainly HAHA 😭 https://t.co/dBWCSQ5s9B,2022-08-29 14:58:19+00:00,1
579,1563860953770631168,klar,pooglewoogle,jawaban plnri ini ada di brainly tidak sih,2022-08-28 12:08:01+00:00,2
593,1563736849402961926,watanabebs,itsafairytale13,@sbmptnfess Di kampusku mau cari soal bagaimanapun di google tidak ada... waktu itu pernah bantu teman kampus lain ngerjain uas soalnya full ada di brainly (dan jenis soal lama)  tidak hanya sekali saja alias hampir semua penugasan gitu ehehe tidak tahu ya itu dosennya malas buat soal apa gimana 🙏,2022-08-28 03:54:52+00:00,2
598,1563687918065287168,mie,ay4mm,@utakandila @naapenaa @quoraindo Jadi aslinya didesain mirip mirip brainly gitu kah?,2022-08-28 00:40:26+00:00,2
