,Unnamed: 0,tweet_id,name,username,tweet,created_at,label
107,107,1568491222108602370,🍜,sthruberry,katanya calon guru tp copas dari brainly anjir 😭 https://t.co/d1drpf24rd,2022-09-10 06:47:03+00:00,0.0
108,108,1568489215712952321,entut,erlinakarlitaa,kgn cari jwban dari brainly aja gaperlu pke jurnal2 tai,2022-09-10 06:39:04+00:00,0.0
109,109,1568487956578709506,deyaa,dkhaizure,dari brainly anj ngabruttt https://t.co/jvi6ePBoBO,2022-09-10 06:34:04+00:00,0.0
110,110,1568487096268238848,akun toxic inie,pecintaipa,"anak go gamau buat kunci jawaban buat soal pendalaman materi di brainly kah anjg, anjrit gua stress bat ini GADA JAWABANNYA BANGKEEE GATAU GUAAA😭😭😭😭",2022-09-10 06:30:39+00:00,0.0
111,111,1568486450374778880,ً,yourmars_,WKWKWKWKWKWK ANJ DARI BRAINLY https://t.co/MlaVJZf647,2022-09-10 06:28:05+00:00,0.0
113,113,1568482683600388097,gween 🍯,monsieurie,NGAKAAKKK CALON GURU TP MSH USING BRAINLY 😭😭 aduh mba wkakaaka https://t.co/7cUFpDCMHL,2022-09-10 06:13:07+00:00,0.0
124,124,1568476391930462209,َ,chintarchive,HAHAHAHA malu bgt ketauan copas dari brainly https://t.co/OScAtBuckc,2022-09-10 05:48:07+00:00,0.0
125,125,1568475336979140610,tan 𝙊𝘿𝙔𝙎𝙎𝙀𝙔 : 𝘿𝙖𝙎𝙃,titanielse,yang dikit lagi jadi guru tapi copas BRAINLY😭😭😭 https://t.co/rOCeg7x9jJ,2022-09-10 05:43:55+00:00,0.0
132,132,1568470695939829768,MOOF,Shyhii_,Anjir mana mana ketauan copas di brainly lagi buat bahan debatnya😭 https://t.co/s0znJOE0iG,2022-09-10 05:25:29+00:00,0.0
137,137,1568468034809102340,🐻‍❄️,lanjutpart2,WKWKWKWKKWKWKWKWK BRAINLY DONG ANJ https://t.co/ZzDK9pizbp,2022-09-10 05:14:54+00:00,0.0
139,139,1568466106687574018,AL,alekilef,BRAINLY ANJIR 😭 NGAKAK https://t.co/iilpG0EZC2,2022-09-10 05:07:15+00:00,0.0
146,146,1568462831288463364,NEARSIGHTED,RabunJauh30,Awowkwk mba mba itu melawan argumen seorang ners pake skrinsotan brainly 😭,2022-09-10 04:54:14+00:00,0.0
147,147,1568459487367041025,Lintang,aglimpseofred,Anjir copasnya dari brainly lagi wkwk https://t.co/WS8FECmdE9,2022-09-10 04:40:57+00:00,0.0
148,148,1568458852580098048,floo,pacarnyaadhandy,"Emang bener sih, kalau beropini itu bebas. Asalkan beropini sesuai dengan data yang valid. Udah ngotot, sok bener, mana datanya itu data web yang belum dibaca detail dan dari brainly yang kurang valid pula😭",2022-09-10 04:38:25+00:00,0.0
151,151,1568455935928180738,upa,maechiato,Calon guru copas dari brainly😋😋 https://t.co/ZJjNX2WMhl,2022-09-10 04:26:50+00:00,0.0
152,152,1568455916445663240,D G S T M,dhgustama,@infotwitwor_ Calon guru tapi cari jawaban di Brainly wkwkwk,2022-09-10 04:26:45+00:00,0.0
159,159,1568452211268792324,mis엥,gay4emma,dikit lagi guru dikit lagi guru eh liat brainly https://t.co/DCRAwjUc88,2022-09-10 04:12:02+00:00,0.0
161,161,1568450258132414464,unknown,snuraimah_,@UcupKeling @fbrrrnnnn @Deanj1_ @urikaeureka @Hana_restu20 @howlisheet @LycentusProm @infotwitwor_ gurunya aja belajar di brainly wkwk,2022-09-10 04:04:16+00:00,0.0
162,162,1568449465195057153,Gema,gemalahaza,"@lovingsubake jangan percaya brainly deh, sesat :""",2022-09-10 04:01:07+00:00,0.0
180,180,1568435321548963841,𝙚𝙠☀️,starohae_,"mana copasnya di brainly lg, calon guru loh mbakkk🤣🤣",2022-09-10 03:04:55+00:00,0.0
181,181,1568434494981689344,☕,rivanisasi,@infotwitwor_ Awokwokwok modal brainly tapi ngotot banget anjing wkwkwk tolol,2022-09-10 03:01:38+00:00,0.0
183,183,1568434033398550530,Hamba Tuhan,gxuest,@infotwitwor_ anjinh sampe brainly,2022-09-10 02:59:48+00:00,0.0
194,194,1568428739226386436,***o ≷ ꦆꦠ꧀ꦗ꦳ꦶ ≷,parttimerant,Bgst copas jawaban dari brainly anjg 💀💀💀💀 https://t.co/yCg1Mwn2we,2022-09-10 02:38:46+00:00,0.0
195,195,1568427786561540096,haren,avoidpeeps,"@rgntabskra gedek anying, sok tau bgt, tau tau copas brainly",2022-09-10 02:34:58+00:00,0.0
197,197,1568427753296531456,Aila,ayennuna,"Demi apa sih gw malu bgt😭 lu yg nyolot + plagiat, gw yg malu anjrit😭

Si rizal ini keknya cenayang deh bisa2nya nemu di brainly😭 https://t.co/6lbEyU3aue",2022-09-10 02:34:51+00:00,0.0
199,199,1568426880621232129,Архипелаг,nasiypadankk,copas dari brainly 💀 MALU BGT https://t.co/PaqrgBlQwS,2022-09-10 02:31:22+00:00,0.0
203,203,1568422903733170176,`,echathekid,calon guru tapi sumbernya brainly 😭😭😭 https://t.co/f8wuyfrtzZ,2022-09-10 02:15:34+00:00,0.0
204,204,1568422001777479680,🌷,fIowerpuffgirl,Malu bgt ketauan copas brainly😔 https://t.co/DBfO0r1Xeh,2022-09-10 02:11:59+00:00,0.0
213,213,1568417243691905024,♡⃕ ᴄʀʏ ʙᴀʙʏ,crserror,"ANJING HAHAHAA COPAS DONG

CALON GURU KOK MASIH NYARI BRAINLY LAWAKKK https://t.co/PHxZurhgfG",2022-09-10 01:53:05+00:00,0.0
214,214,1568416891982745600,♡ naxie✧*。,uletbulugembul,@cimothy_sky WKWKWKWKWK KOCAK NJIR NYONTEK BRAINLY,2022-09-10 01:51:41+00:00,0.0
222,222,1568411965311287297,pemiliknya,udahsenang,@infotwitwor_ COPASNYA DARI BRAINLY ANJG WKWKWKWKWK,2022-09-10 01:32:06+00:00,0.0
228,228,1568410467806380032,yudd,_Shirokamii,WKWKWKW ANJG MALU BANGET COPAS BRAINLY https://t.co/Pef4QNcFFc,2022-09-10 01:26:09+00:00,0.0
233,233,1568407539888586752,dep,aadepee,"@infotwitwor_ Wkwkwk brainly, bangke 😭😭😭😭",2022-09-10 01:14:31+00:00,0.0
241,241,1568404040534589440,hektor,mdvllain,ANYING DEBAT COPAS BRAINLY YA ALLAH,2022-09-10 01:00:37+00:00,0.0
245,245,1568402493008408577,⚘,andsootm,Wkwkk copas brainly. Maluu bgt anjirr https://t.co/lzLtcN4OZO,2022-09-10 00:54:28+00:00,0.0
259,259,1568389661525164032,ays,fluffiecream,"wkwkwkwk calon guru katanya, tp copas brainly 😭😭😭😭 ngakak bgt monmaap https://t.co/M3NCYw6tmR",2022-09-10 00:03:29+00:00,0.0
267,267,1568384897131384832,fyuhhh,ujeudda,Aneh calon guru tapi ginian aja copas dari brainly wkwkwk https://t.co/JgcdwqTLGN,2022-09-09 23:44:33+00:00,0.0
273,273,1568373989311152128,clo,lattemornx,katanya calon guru tapi malah copas di brainly😭😭😭 https://t.co/FpEBsmAhnV,2022-09-09 23:01:12+00:00,0.0
274,274,1568373282382151680,cctzu 🤟🏸 || REST!!!,tzu__cc,"Najis.
Sok paling tahu, padahal hasil copas brainly.
Malu ga sih? Haha
Debat sama ners, sedangkan dia 0 pengetahuan, omongan dia berdasarkan turun temurunnya (padahal mungkin belom tentu bener) https://t.co/RQ3K7spi4D",2022-09-09 22:58:24+00:00,0.0
278,278,1568361849443463169,‏َ,markhvuck,ada calon guru tapi copas brainly FREAK https://t.co/5Z7aw8iLNE,2022-09-09 22:12:58+00:00,0.0
279,279,1568359158432546816,—kyu 규,smileycloudkyu,Pls calon guru tapi masih cari di brainly😭😭😭😭 cari di paper noh baru valid https://t.co/y3w10mhz4n,2022-09-09 22:02:16+00:00,0.0
283,283,1568322030273196033,Official halu,capekbaikk,"RT @peanut_cane: @angelicacile @erfinov98_ @missunaaa_ @afrkml wakakakakk udah goblok ngotot, bahan ngototnya ambil di brainly pisan.",2022-09-09 19:34:44+00:00,0.0
284,284,1568321457138339841,exol dayyy,aaprilhy,"@erfinov98_ @ddegemesss @MentaryMaulania lo kali yg tolol, org dibilangin yg bner mlh ngotot ini itu pke brainly, yg besar"" in masalaha y lo sndri",2022-09-09 19:32:28+00:00,0.0
310,310,1568277707859066880,Bill 🌿 free tag,astrovies,"ANJIR COPAS DI BRAINLY, MALU MBA MALU https://t.co/KiSvmFnJz9",2022-09-09 16:38:37+00:00,0.0
317,317,1568269269976383488,bit 👻,Bybitt27,ANJJ LUCU BANGET WKWKWK😂🤣 TAPI GUE NYONTEK DI BRAINLY SALAH BANYAK ANJIING😭 https://t.co/KPzIvL5A7S,2022-09-09 16:05:05+00:00,0.0
337,337,1568240880502607878,✿✿✿,sxnshineisme,@missunaaa_ @afrkml @erfinov98_ Malu ga ya ketauan copas dari brainly 😭,2022-09-09 14:12:17+00:00,0.0
362,362,1568175688846561280,tio,kadyasandya,@afrkml @erfinov98_ @missunaaa_ MALU BANGET W BACANYA ALLAHUAKBAR jawab ginian ae copas brainly kek bocil sd😭😭😭,2022-09-09 09:53:14+00:00,0.0
365,365,1568165408540344320,Deb,dalbichu,@missunaaa_ @afrkml @erfinov98_ Calon guru nyonteknya di brainly udah kayak anak sekolahan 😢,2022-09-09 09:12:23+00:00,0.0
378,378,1567812703070359554,"Homebody 2RU, Performers of B4KWAN, Joan",JUNKGYU,@Whonyoung SYIT BRAINLY LOADINGNYA LAMA,2022-09-08 09:50:51+00:00,0.0
439,439,1566770573920780288,KAIUEO,elugayy,angkatan corona ini lagi sibuk nangis liat soal tugas kuliah gaada kunjawnya di brainly,2022-09-05 12:49:48+00:00,0.0
445,445,1566707017678745600,"ACT, Donzio.",wooyoliung,@lohyeji soalnya klo tanya brainly kagak ade jawabannye :),2022-09-05 08:37:15+00:00,0.0
447,447,1566687752498065408,j😎,donghwamyboo,Brainly kadang sesat https://t.co/qBF9DWuw1i,2022-09-05 07:20:42+00:00,0.0
463,463,1566360063278989313,pegawaikerajaan,Randitamaaa,"Makan tuh brainly 😄, para penikmat brainly mulai kewalahan. https://t.co/2azcNKzSlw",2022-09-04 09:38:35+00:00,0.0
471,471,1566238274191912960,hanjis bundar #MAXIDENT,jwisunghan,@kimusnoo kmu jgn terpaku sma brainly ntar ditipu mnding les aj yha🙏🏻,2022-09-04 01:34:38+00:00,0.0
475,475,1566094223144730624,🪶 Agent Arsion of Power R4ngers,kimusnoo,"@jwisunghan k-kok.. padahal itu jawaban terbaik menurut brainly, hufet aku tertipu (kecewa)😔",2022-09-03 16:02:14+00:00,0.0
9,9,1568659535560318979,ghina. free tag,freuday,brainly bgt...😭 https://t.co/JK44nELtML,2022-09-10 17:55:52+00:00,1.0
13,13,1568653526074785797,pad ✦,skyycrumbs,"@h33babe @convomf nomer 1 sama 2 kaya gini caranya, nomer 3 ada di sini https://t.co/VuVET3hqFl https://t.co/kVOkECScDy",2022-09-10 17:31:59+00:00,1.0
17,17,1568649909750087684,iamconss,d4rkprincee,"lebih enakan dlu ya pke brainly tinggal copas, gk kyk skrg hrus nyari referensi sana sni"")",2022-09-10 17:17:37+00:00,1.0
37,37,1568592149444444160,abud universe,itsabudd,"kangen ngerjain tugas tinggal buka brainly ga sih
sekarang nugas kudu liat jurnal, nyari buku, dengerin rekaman dosen
😔🤚",2022-09-10 13:28:06+00:00,1.0
79,79,1568529444125671424,marshall🥠,auliamedicaa,Hahaha copas dari brainly😭 https://t.co/dZ3jhsd3VN,2022-09-10 09:18:56+00:00,1.0
112,112,1568484494117830656,nes,foucado,Terima kasih kepada brainly🙏🏻 https://t.co/jOTHxefHOd,2022-09-10 06:20:19+00:00,1.0
122,122,1568478038932987904,(^◕ᴥ◕^),ameowperson,"@monde_serena Benerr, “buka brainly dulu yhh anak2” 🤣🤣🤣🤣🤣",2022-09-10 05:54:40+00:00,1.0
171,171,1568443798128332802,ᴊᴀᴇꜱʟʏ,0reop1yyy,"kangen masa""brainly skrg harus cari jurnal yg ribetny ky tai",2022-09-10 03:38:36+00:00,1.0
182,182,1568434388492505088,r,kleidreprinz,NYARI DI BRAINLY https://t.co/pW67qxOQD3,2022-09-10 03:01:12+00:00,1.0
248,248,1568398511426908160,cy💫,spacetronout,Searching di brainly donggg mba nyaa😭😭😭 https://t.co/kCb3K8ZkQ2,2022-09-10 00:38:39+00:00,1.0
343,343,1568228131244494849,anakpertama ⚡,nat_sya_,@erfinov98_ Jangan lupa cari kata2 bagus dari brainly buat di paste di twitter,2022-09-09 13:21:37+00:00,1.0
347,347,1568224522465333251,재혁ⱽˡˢ ձ,JAEHYUKY8N,"Msh menunggu jawaban yg tpat, padahal ada di brainly hm /mlamun/",2022-09-09 13:07:17+00:00,1.0
348,348,1568223962651570177,재혁ⱽˡˢ ձ,JAEHYUKY8N,"@zsunwoou Ada di brainly xixi, gugel",2022-09-09 13:05:03+00:00,1.0
357,357,1568195291714850818,win,heylowinn,"Rindu dijaman kalo cari apa2 di internet bukanya brainly, sekarang harus jurnal ribet tae",2022-09-09 11:11:07+00:00,1.0
359,359,1568188279354425348,gossenlawone,realcallu,"KANGEN dulu nugas bisa pake brainly, ruangguru, quizziz. Sekarang harus baca buku (bahasa inggris lagi) :(",2022-09-09 10:43:15+00:00,1.0
377,377,1567815246102020096,泉谷 ୧⍤⃝🍢,mintyalatte,"@faakhryy1 kek gw dong man, liat brainly 😎😎",2022-09-08 10:00:57+00:00,1.0
380,380,1567807008241512451,️️️️️َ,danqgerous,@chaerybelle Coba tanya brainly kok bisa keangkat,2022-09-08 09:28:13+00:00,1.0
385,385,1567708157023223809,HWI.,Eunhpwi,@jonghwo Kalau gitu tanya brainly. 😔,2022-09-08 02:55:25+00:00,1.0
387,387,1567703589111631875,Gardara of GR4DUATION.,minvgyui,"@woofjin Hai woojin, kalau tugasnya susah bisa searching brainly. 👍",2022-09-08 02:37:16+00:00,1.0
395,395,1567549035535568898,soldin,strawbarrbie,"jadi aku lagi bergelud dengan mat sambil ngerjain tugas, lalu aku mencari di brainly, tERNYATA ADA WKWKWKKWKWKKWKW https://t.co/4TBEmsS6Ni",2022-09-07 16:23:08+00:00,1.0
397,397,1567508512993058822,va,ayamgepwrek,"@schfess brainly sahabatku, ui tujuanku",2022-09-07 13:42:07+00:00,1.0
399,399,1567485569902739458,HWI.,Eunhpwi,@bomiunn lu mending nanya sama brainly aja dah hyung.,2022-09-07 12:10:56+00:00,1.0
404,404,1567433375174246403,π,feelikepsycho_,hidupmu ribet? brainly solusinya,2022-09-07 08:43:32+00:00,1.0
415,415,1567176684453134336,Alora.,ameathys,@kugnsaki Abis cek brainly👍 https://t.co/RmNnRKN7Wj,2022-09-06 15:43:32+00:00,1.0
417,417,1567169558469050368,L i l y,flumblossom,"@athdeway Aku udah lupa cara nyeleseinnya😭 coba cari di brainly , zenius, atau apa gituu?",2022-09-06 15:15:13+00:00,1.0
419,419,1567159312103145478,𓆩♡𓆪,Whonyoung,"@JUNKGYU KAGAK LAH, pakai brainly",2022-09-06 14:34:31+00:00,1.0
422,422,1567144660145156096,alya ✘,cattleyagyu_,"Kalopun ada kan kadang ngga ada penjelasannya Gyu, nnt kalo disuruh maju gmn? Mending brainly saja 👍🏻 https://t.co/dPWdpXbHwh",2022-09-06 13:36:17+00:00,1.0
424,424,1567127695255048193,brightwin's🐺🐰,BalqisYasin,"""Diskusikan secara berkelompok contoh kegiatan ekonomi, seperti produksi, distribusi, konsumsi."" iya gua diskusi bareng gugel + brainly",2022-09-06 12:28:53+00:00,1.0
437,437,1566795041468649472,ipiy loves neil,peachmanu,kangen brainly deh,2022-09-05 14:27:02+00:00,1.0
438,438,1566792935437631488,ひとみ,ghaisene,"Thank Brainly, berkatmu aku bisa menjawab PR dari toer ^^",2022-09-05 14:18:40+00:00,1.0
441,441,1566757966577270784,kevindonothing_,ethaan10_,@pijaminaj brainly: saya siap membantu,2022-09-05 11:59:42+00:00,1.0
442,442,1566754491638349825,niken waslay,bukanironmaan,@khalendcimol coba tanya brainly,2022-09-05 11:45:54+00:00,1.0
448,448,1566673218832072705,cita citata,ravfathar,@dailyccaca kak caca lanjutin au nya di brainly aja,2022-09-05 06:22:57+00:00,1.0
450,450,1566633535514898432,"your friend, onel",haechantekkim,@umayshhhhb gw juga kagak tau jawabannya coba lu ce di brainly,2022-09-05 03:45:16+00:00,1.0
451,451,1566602809327247360,Lulu 🐬 open po keychain📌mt after dm,urmylulu,yg punya apk brainly tolonk donk frenn 😭☝️🏻,2022-09-05 01:43:10+00:00,1.0
459,459,1566417629207638016,Valen.,shithdead,Ini bisa liat brainly aja ga ya gua kangen buka brainly,2022-09-04 13:27:20+00:00,1.0
460,460,1566403519132958720,ً soobin.,soobiv,@xgsohara orang jepang lupa arti kata jepang terus percaya sama brainly yah.,2022-09-04 12:31:15+00:00,1.0
464,464,1566354851206172672,Raka.,tydYOUNGHOON,@INSIDEOUTxCA Makasih brainly,2022-09-04 09:17:52+00:00,1.0
465,465,1566349200161656832,dd Dori on duty! - @ after dm,KosanDori,@babufess otw nyari brainly,2022-09-04 08:55:25+00:00,1.0
467,467,1566327531250130946,senawa,dwocath,@fkelovee coba tnya brainly,2022-09-04 07:29:19+00:00,1.0
473,473,1566202352369278976,ysa 𓆩♡𓆪,oshysiea,kangen golek jawaban neng brainly lek ga ngono roboguru,2022-09-03 23:11:54+00:00,1.0
476,476,1566089050447982593,sapsap,ssaappssaapp,rindu nyari jawaban di brainly 😭😭😭,2022-09-03 15:41:40+00:00,1.0
478,478,1566064721823801345,z i f a ²² 🐶🐺🐰 🐮||,hyuckiehoon,"Anjirrr udah ga ada ide lagi buat isi ppt jirrr, mana dulu pas SMA kalo ada tugas tinggal search di brainly, skrg di google kagak ada yg nyambung satupun:(",2022-09-03 14:05:00+00:00,1.0
481,481,1566049704978567168,qyuu,0pacarophilee,"sumpah sy mengakui rindu mencari jawaban lewat roboguru, brainly, mas dayat😔",2022-09-03 13:05:20+00:00,1.0
484,484,1566002563417182208,ree • ia,hireshisei,"@osamuchuyaa Pke brainly, rata"" soal banyak di brenli wkwk",2022-09-03 09:58:00+00:00,1.0
495,495,1565918372420005888,Shifan ~ Feel free to mute 🍁,chuuyya_,then again fisika bisa brainly sih,2022-09-03 04:23:27+00:00,1.0
